pred: axis 1: 1.3056442, 1.1947057, 1.0837673, 0.97282875, 0.86189026, 0.7509518, 0.6400133, 0.5290748, 0.4181363, 0.3071978, 0.19625933, 0.08532083, -0.025617655, -0.13655615, -0.24749464, -0.3584331, -0.46937162, -0.5803101, -0.6912486, -0.802187. axis 2: -7.957854, -7.852169, -7.746484, -7.640798, -7.535113, -7.429428, -7.323743, -7.2180576, -7.112373, -7.006687, -6.901002, -6.7953167, -6.689632, -6.5839467, -6.478261, -6.3725758, -6.266891, -6.161206, -6.0555205, -5.94983. axis 3: -158.27895, -158.52724, -158.77554, -159.02383, -159.27213, -159.52042, -159.76872, -160.01701, -160.26532, -160.51361, -160.7619, -161.0102, -161.2585, -161.50679, -161.75508, -162.00339, -162.25168, -162.49998, -162.74826, -162.9965. 
gt: axis 1: 1.578835, 1.759798, 1.740887, 1.815997, 1.897643, 1.913114, 1.888819, 1.821029, 1.517664, -4.915386, -18.145405, -28.116701, -31.193335, -29.31647, -28.798452, -26.761211, -23.25014, -19.390064, -15.360161, -11.12608. axis 2: -8.258171, -8.332685, -8.300791, -8.333758, -8.364875, -8.395314, -8.361318, -8.31032, -8.220476, -5.787207, -1.424739, 3.3701, 2.790146, 1.271694, -0.491805, -2.631729, -4.766658, -6.894741, -8.361612, -7.60999. axis 3: -157.34639, -157.29942, -157.45021, -157.29295, -157.15161, -157.08437, -157.12915, -157.13107, -157.01237, -153.57277, -143.66443, -130.74652, -117.04405, -105.299774, -94.18568, -84.12375, -73.41209, -62.33627, -52.711098, -45.88776. 
pred: axis 1: 2.099064, 1.6316438, 1.1642233, 0.696803, 0.22938257, -0.2380378, -0.70545816, -1.1728785, -1.6402988, -2.1077192, -2.5751395, -3.04256, -3.5099802, -3.9774008, -4.444821, -4.9122415, -5.3796616, -5.847082, -6.3145027, -6.781923. axis 2: 10.456806, 10.250669, 10.044532, 9.838394, 9.632257, 9.42612, 9.219983, 9.013845, 8.807709, 8.601571, 8.395434, 8.189297, 7.98316, 7.777023, 7.5708857, 7.3647485, 7.1586113, 6.952474, 6.746337, 6.540199. axis 3: -44.79279, -43.64353, -42.494274, -41.345016, -40.195763, -39.046505, -37.897247, -36.74799, -35.598736, -34.44948, -33.300217, -32.15096, -31.001703, -29.852448, -28.70319, -27.553934, -26.404676, -25.25542, -24.106163, -22.95690. 
gt: axis 1: 1.267556, -0.555196, -1.170911, -1.602676, -2.660017, -3.9775248, -5.004246, -5.524526, -5.905305, -6.643884, -7.421043, -7.390732, -7.321713, -7.3351545, -7.131246, -6.834818, -5.671374, -5.852705, -9.265309, -10.11736. axis 2: 15.218489, 14.812086, 13.896011, 13.068581, 13.012603, 13.016853, 13.300062, 13.885602, 15.369018, 16.308777, 16.034147, 15.916241, 15.57566, 15.443513, 15.40208, 14.997489, 14.392812, 16.082956, 19.134695, 21.17999. axis 3: -19.519278, -4.711016, 7.351879, 19.467424, 25.901003, 26.093151, 25.060295, 22.484058, 22.438622, 26.622545, 29.310488, 28.504658, 27.371124, 26.627829, 25.745886, 24.298038, 18.785961, 16.738407, 23.155844, 30.66199. 
pred: axis 1: 1.4806823, 1.024093, 0.56750363, 0.110914275, -0.34567508, -0.80226445, -1.2588538, -1.7154431, -2.1720326, -2.628622, -3.0852113, -3.5418007, -3.9983902, -4.4549794, -4.911569, -5.368158, -5.8247476, -6.2813373, -6.7379265, -7.19451. axis 2: 9.318059, 9.403677, 9.489296, 9.574914, 9.660532, 9.74615, 9.831769, 9.917387, 10.003005, 10.088624, 10.174242, 10.259861, 10.345479, 10.431097, 10.516716, 10.602334, 10.687952, 10.77357, 10.859189, 10.94480. axis 3: 22.23164, 24.205336, 26.179031, 28.152729, 30.126425, 32.10012, 34.073814, 36.047512, 38.02121, 39.994904, 41.9686, 43.942295, 45.91599, 47.88969, 49.863388, 51.83708, 53.810776, 55.78447, 57.758167, 59.73186. 
gt: axis 1: 2.517119, 3.364828, 3.556724, 3.1969981, 2.376173, 1.6006129, 1.022231, 0.26259, -0.272554, 0.56214, 5.114114, 9.885657, 10.740489, 9.150645, 8.989581, 7.9608974, 4.776005, 3.0693102, 1.201932, 0.73489. axis 2: 10.211623, 9.337391, 9.514182, 11.83561, 12.512272, 12.441408, 12.512422, 11.981473, 12.221745, 14.863125, 27.070854, 33.975365, 35.4919, 37.220432, 36.692703, 36.20073, 33.9856, 32.76098, 32.48651, 30.41869. axis 3: 13.07351, 9.972236, 6.991633, -6.811845, -18.686659, -18.89528, -18.322405, -18.10938, -16.426794, -13.121144, -14.146405, -25.736258, -28.282524, -25.664412, -23.309155, -19.425106, -9.780665, -2.994292, 2.915652, 10.96505. 
pred: axis 1: 7.104639, 8.787483, 10.470327, 12.153171, 13.836016, 15.518859, 17.201702, 18.884546, 20.56739, 22.250235, 23.93308, 25.615923, 27.298767, 28.981611, 30.664454, 32.347298, 34.030144, 35.712986, 37.39583, 39.07867. axis 2: 8.07905, 9.698118, 11.317186, 12.936255, 14.555324, 16.174393, 17.79346, 19.412527, 21.031597, 22.650665, 24.269735, 25.888802, 27.507872, 29.12694, 30.746006, 32.365078, 33.984142, 35.603214, 37.222282, 38.8413. axis 3: -31.960514, -30.678999, -29.397484, -28.115967, -26.83445, -25.552933, -24.271416, -22.9899, -21.708385, -20.426868, -19.145351, -17.863836, -16.58232, -15.300803, -14.019287, -12.737772, -11.456255, -10.174739, -8.893223, -7.611706. 
gt: axis 1: 5.075875, 4.752924, 4.709839, 3.314825, 4.354191, 4.465762, 6.592467, 6.0255938, 5.243326, 4.489148, 4.033031, 2.00226, 1.771246, 2.607355, 2.68905, 2.517119, 3.364828, 3.556724, 3.1969981, 2.37617. axis 2: 10.392467, 12.190396, 13.582542, 14.454361, 13.677793, 11.577372, 9.567893, 8.300629, 6.450927, 6.463695, 6.874975, 7.780219, 9.816611, 10.716922, 10.922343, 10.211623, 9.337391, 9.514182, 11.83561, 12.51227. axis 3: -22.105604, -15.078921, -10.516338, -5.01514, -0.979043, 1.4583302, 4.473659, 6.783094, 9.121867, 9.624278, 12.081085, 15.077794, 18.67987, 18.938112, 17.52502, 13.07351, 9.972236, 6.991633, -6.811845, -18.68665. 
pred: axis 1: 11.732741, 13.010411, 14.288083, 15.565755, 16.843426, 18.121098, 19.398767, 20.67644, 21.95411, 23.23178, 24.509453, 25.787123, 27.064793, 28.342466, 29.620136, 30.897806, 32.175476, 33.453148, 34.73082, 36.0084. axis 2: 42.988422, 46.541386, 50.094345, 53.64731, 57.200264, 60.753223, 64.30618, 67.859146, 71.41211, 74.96507, 78.51803, 82.07099, 85.62395, 89.17691, 92.729866, 96.28283, 99.83579, 103.38875, 106.94171, 110.49467. axis 3: -25.899319, -26.935308, -27.971296, -29.007286, -30.043276, -31.079266, -32.115253, -33.151245, -34.187237, -35.223225, -36.259216, -37.295204, -38.331196, -39.36718, -40.40317, -41.43916, -42.47515, -43.51114, -44.54713, -45.5831. 
gt: axis 1: 7.9608974, 4.776005, 3.0693102, 1.201932, 0.734891, -0.757858, -2.764251, -4.494748, -6.058896, -7.194066, -6.605161, -3.861973, -0.844034, 1.436975, 2.484976, 3.0884278, 2.9374557, 3.162686, 3.16018, 3.12309. axis 2: 36.20073, 33.9856, 32.76098, 32.48651, 30.418692, 30.135698, 29.474224, 28.288628, 26.27121, 22.756496, 18.629728, 14.287391, 8.796932, 3.483988, -0.35467002, -3.268775, -4.612543, -5.501356, -5.876644, -6.823332. axis 3: -19.425106, -9.780665, -2.994292, 2.915652, 10.965053, 18.13304, 21.689417, 24.810993, 25.976805, 26.141365, 25.820747, 24.870815, 26.284548, 26.052294, 24.678297, 24.440573, 23.918716, 23.03928, 21.966875, 19.08485. 
